dataset,file,scoring_type,n,scored_n,correct,accuracy,errors,length_rows,unparsed_rows,needs_judge,parser_version,notes
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,mcq,1124,562,441,0.784698,0,0,562,false,conservative_v2,preferred baseline raw file; deterministic score only when explicit option labels are present
DynaMath_Sample,qwen3vl8b_DynaMath_Sample_len32768_maxtok2048_raw.jsonl,numeric_exact,501,285,74,0.259649,0,0,216,false,conservative_v2,preferred baseline raw file; rough conservative numeric exact match
GQA,qwen3vl8b_GQA_val_balanced_limit5000_len65536_maxtok128_raw.jsonl,normalized_exact,5000,5000,3528,0.705600,0,0,0,false,conservative_v2,preferred baseline raw file; rough normalized short-answer exact match
MMBench,qwen3vl8b_MMBench_dev_len65536_maxtok256_raw.jsonl,mcq,4329,4327,3882,0.897157,0,2,0,false,conservative_v2,preferred baseline raw file; reliable when ground truth and prediction use explicit option labels
MMMU_Pro_10,qwen3vl8b_MMMU_Pro_10options_len65536_maxtok256_raw.jsonl,mcq,1730,309,93,0.300971,0,5,1416,false,conservative_v2,preferred baseline raw file; reliable when ground truth and prediction use explicit option labels
MMMU_Pro_4,qwen3vl8b_MMMU_Pro_4options_len65536_maxtok256_raw.jsonl,mcq,1730,657,343,0.522070,0,8,1065,false,conservative_v2,preferred baseline raw file; reliable when ground truth and prediction use explicit option labels
MMSI-Bench,qwen3vl8b_MMSI_Bench_len32768_maxtok256_raw.jsonl,mcq,1000,1000,324,0.324000,0,0,0,false,conservative_v2,preferred baseline raw file; deterministic score only when explicit option labels are present
MMVet,qwen3vl8b_MMVet_len32768_maxtok2048_raw.jsonl,needs_judge,218,0,0,,0,0,0,true,conservative_v2,preferred baseline raw file; open-ended benchmark requires judge and is excluded from deterministic aggregate
MV-MATH,qwen3vl8b_MV_MATH_len65536_maxtok1024_raw.jsonl,numeric_exact,2009,23,18,0.782609,0,364,1622,false,conservative_v2,preferred baseline raw file; rough conservative numeric exact match; selected over superseded len32768 run
MathVerse,qwen3vl8b_MathVerse_len65536_maxtok1024_raw.jsonl,mcq,3940,2103,1172,0.557299,0,114,1723,false,conservative_v2,preferred baseline raw file; MCQ option-letter exact match; selected over superseded len32768 run
MathVista,qwen3vl8b_MathVista_len32768_maxtok2048_raw.jsonl,normalized_exact,1000,975,594,0.609231,0,0,25,false,conservative_v2,preferred baseline raw file; rough normalized exact match for mixed short-answer outputs
MindCube-Bench,qwen3vl8b_MindCube_Bench_len65536_maxtok256_raw.jsonl,mcq,21154,21154,7078,0.334594,0,0,0,false,conservative_v2,preferred baseline raw file; deterministic score only when explicit option labels are present
ReMI,qwen3vl8b_ReMI_test_len65536_maxtok1024_raw.jsonl,normalized_exact,2600,2457,584,0.237688,0,0,143,false,conservative_v2,preferred baseline raw file; rough normalized exact match
ScienceQA-IMG,qwen3vl8b_ScienceQA_IMG_len32768_maxtok128_raw.jsonl,mcq,2097,2096,1882,0.897901,0,0,1,false,conservative_v2,preferred baseline raw file; reliable when ground truth and prediction use explicit option labels
VQAv2,qwen3vl8b_VQAv2_val_limit5000_len65536_maxtok128_raw.jsonl,normalized_exact,5000,4996,3608,0.722178,0,0,4,false,conservative_v2,preferred baseline raw file; rough normalized VQA-style exact match
ViewSpatial-Bench,qwen3vl8b_ViewSpatial_Bench_len65536_maxtok128_raw.jsonl,mcq,5712,5712,2267,0.396884,0,0,0,false,conservative_v2,preferred baseline raw file; selected over superseded len32768 run; deterministic score only when explicit option labels are present
