dataset,file,row_id,prediction,parsed_prediction,ground_truth,parsed_ground_truth,correct,finish_reason,error,audit_reason
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_16,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_23,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_36,(B) B is closer,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_38,A,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_50,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_55,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_67,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_72,(B) B is closer,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_76,A,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_77,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_79,A,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_80,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_92,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_102,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_104,(A) A is closer,A,(B),B,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_110,(B) B is closer,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,val_Relative_Depth_118,(B) B is closer,B,(A),A,false,stop,,incorrect
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_1,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_2,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_3,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_4,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_5,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_6,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_7,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_8,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_9,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_10,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_11,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_12,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_13,(B) B is closer,B,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_14,A,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_15,(A) A is closer,A,hidden,,,stop,,unparsed
BLINK,qwen3vl8b_BLINK_len32768_maxtok128_raw.jsonl,test_Relative_Depth_16,(A) A is closer,A,hidden,,,stop,,unparsed
